,STATION,LATITUDE,LONGITUDE
9,US10buff008,40.9593,-98.9631
1,US10buff036,40.7853,-99.1653
1,US10ceda005,42.8151,-97.4648
7,US10chas028,40.4688,-101.541
11,US10daws002,40.78,-99.72
8,US10daws008,40.7966,-99.9956
9,US10doug006,41.2658,-95.9927
11,US10fran007,40.2776,-99.1562
9,US10gage022,40.118,-96.879
6,US10gree004,41.4663,-98.6272
3,US10howa005,41.122,-98.5533
11,US10jeff009,40.0599,-97.0435
4,US10john005,40.4431,-96.3216
8,US10john009,40.4471,-96.4384
5,US10keit014,41.1638,-101.3071
9,US10merr015,41.1146,-97.9952
11,US10perk009,40.8064,-101.7277
10,US10perk017,40.8,-101.3229
1,US10perk037,40.8492,-101.7244
9,US10red_019,40.265,-100.6531
11,US10sali011,40.3504,-97.3542
3,US10sarp039,41.1674,-95.95
10,US10shem003,41.1426,-98.8593
7,US10shem008,41.2787,-98.9704
2,US10sher032,42.712,-102.4637
4,US10vall015,41.5983,-98.9241
4,US10webs009,40.2786,-98.6577
8,US10webs013,40.0891,-98.4366
7,US10york019,40.8868,-97.3948
0,US1AKAB0052,61.1529,-149.9346
4,US1AKMS0011,61.6185,-149.1258
2,US1AKMS0012,62.2272,-150.0731
3,US1AKPW0001,55.9553,-133.6178
4,US1ALBL0003,33.8584,-86.8679
7,US1ALBL0006,34.0913,-86.6066
1,US1ALBL0021,34.2305,-86.4792
8,US1ALBW0001,30.5483,-87.8887
6,US1ALBW0027,30.3032,-87.5624
4,US1ALBW0031,30.3789,-87.6975
0,US1ALBW0045,30.488,-87.8002
0,US1ALBW0053,30.3718,-87.6195
3,US1ALBW0059,31.0359,-87.7413
1,US1ALBW0071,30.5166,-87.8474
3,US1ALCM0003,34.1703,-86.7624
6,US1ALCM0004,34.0656,-86.7354
7,US1ALCM0006,34.1004,-86.932
8,US1ALCT0001,34.6224,-87.7941
2,US1ALCT0004,34.7293,-87.6472
4,US1ALCT0012,34.6854,-88.0248
5,US1ALCT0014,34.7754,-87.4736
6,US1ALDK0008,34.5346,-85.7563
7,US1ALDK0009,34.4431,-85.7159
1,US1ALDS0001,32.4042,-87.0546
6,US1ALEL0018,32.6784,-86.1402
6,US1ALEL0022,32.5741,-86.2877
7,US1ALFY0001,33.8303,-87.8117
8,US1ALHS0006,31.2261,-85.6143
0,US1ALJC0007,34.5502,-86.0794
2,US1ALJC0008,34.6388,-86.2577
8,US1ALJC0012,34.7345,-86.21
8,US1ALJF0011,33.4511,-86.7672
6,US1ALJF0037,33.379,-86.9775
3,US1ALJF0047,33.3963,-86.8399
2,US1ALJF0053,33.6523,-86.6167
1,US1ALJF0057,33.5121,-86.7428
6,US1ALLD0009,34.9129,-87.8829
3,US1ALLD0020,34.8598,-87.6721
4,US1ALLD0025,34.835,-87.5697
2,US1ALLE0004,32.5949,-85.4711
4,US1ALLE0007,32.5844,-85.593
1,US1ALLE0012,32.6327,-85.4605
4,US1ALLS0002,34.8044,-86.8304
4,US1ALLS0023,34.7869,-86.9536
0,US1ALLS0025,34.9157,-86.999
0,US1ALLS0026,34.7098,-86.8057
7,US1ALMB0004,30.69,-88.13
8,US1ALMB0024,30.737,-88.274
2,US1ALMB0060,30.6075,-88.2404
0,US1ALMB0063,30.6117,-88.3342
6,US1ALMD0004,34.647,-86.553
5,US1ALMD0025,34.7337,-86.5565
6,US1ALMD0030,34.6136,-86.5555
7,US1ALMD0033,34.6706,-86.515
8,US1ALMD0042,34.6689,-86.4946
2,US1ALMD0069,34.7296,-86.7048
8,US1ALMG0009,34.3638,-86.8217
8,US1ALMG0012,34.4907,-86.6328
8,US1ALMR0001,33.9793,-87.9214
4,US1ALMS0011,34.3648,-86.2361
4,US1ALMS0013,34.2785,-86.2912
0,US1ALMS0020,34.4222,-86.5691
3,US1ALMS0021,34.2368,-86.1708
3,US1ALMS0029,34.3562,-86.3525
7,US1ALMY0006,32.0323,-86.2056
6,US1ALMY0007,32.3772,-86.2575
6,US1ALRN0002,33.2034,-85.3485
5,US1ALRS0003,32.2918,-85.1893
0,US1ALSC0011,33.8083,-86.2996
5,US1ALSH0021,33.4051,-86.7359
4,US1ALSH0048,33.4198,-86.6378
1,US1ALSH0052,33.1954,-86.8344
2,US1ALTG0006,33.2243,-86.3195
4,US1ALTP0007,32.9884,-85.9492
8,US1ALTS0003,33.0786,-87.4009
2,US1ALTS0004,33.1853,-87.4979
5,US1ALTS0017,33.237,-87.6869
3,US1ALWS0001,31.5095,-87.96
4,US1ALWX0001,31.9652,-87.6387
6,US1ALWX0002,32.0166,-87.2904
5,US1ARAS0001,33.16,-91.9464
3,US1ARBN0002,36.1923,-93.1936
2,US1ARBT0003,36.4691,-94.2576
6,US1ARBT0012,36.3275,-94.413
0,US1ARBT0045,36.2788,-94.2437
0,US1ARBX0002,36.393,-92.302
0,US1ARCF0005,35.4769,-94.3607
1,US1ARCK0002,34.2226,-93.0039
1,US1ARCN0003,33.479,-92.3705
0,US1ARCR0002,36.4636,-93.8235
0,US1ARCR0008,36.4671,-93.737
0,US1ARCR0014,36.3607,-93.5701
1,US1ARCW0007,35.1236,-92.9025
6,US1ARDL0001,33.9048,-92.461
3,US1ARFK0011,35.0489,-92.4415
2,US1ARFK0016,35.2277,-92.4324
3,US1ARFK0017,35.2596,-92.4054
0,US1ARGL0016,34.4601,-93.0496
0,US1ARGN0015,36.0842,-90.5331
1,US1ARGT0009,34.2922,-92.4081
2,US1ARHW0001,33.9518,-93.8396
0,US1ARIZ0003,36.1387,-92.1254
1,US1ARJF0002,34.2675,-92.089
6,US1ARLK0001,34.9646,-91.9657
6,US1ARLK0002,34.7697,-91.909
4,US1ARLW0002,36.0223,-91.2712
3,US1ARPK0001,34.0331,-93.5069
0,US1ARPK0009,34.0756,-93.6135
2,US1ARPL0001,34.598,-94.2895
0,US1ARPL0006,34.5966,-94.2296
1,US1ARPP0001,35.2714,-93.1539
3,US1ARPP0012,35.3687,-93.145
0,US1ARPP0026,35.4504,-93.0095
6,US1ARPS0007,34.8572,-92.2155
3,US1ARPS0024,34.766,-92.406
3,US1ARPS0026,34.8923,-92.2439
2,US1ARPS0052,34.8222,-92.2338
2,US1ARPS0058,34.824,-92.2531
0,US1ARPS0071,34.8429,-92.2115
0,US1ARPY0002,34.9631,-92.7072
2,US1ARSB0008,35.2267,-94.2632
2,US1ARSC0003,34.8442,-93.8652
3,US1ARSH0011,36.2084,-91.5115
1,US1ARSL0023,34.536,-92.7651
0,US1ARSR0008,36.0518,-92.8434
1,US1ARST0002,35.8643,-92.1106
2,US1ARST0003,35.8131,-92.1573
1,US1ARST0010,35.8209,-92.0378
1,US1ARST0011,35.8674,-92.3777
1,US1ARST0012,35.8592,-92.0467
1,US1ARST0013,35.8258,-91.9405
1,US1ARST0014,35.911,-92.3101
0,US1ARST0015,35.8032,-92.1812
0,US1ARST0016,35.8823,-92.209
0,US1ARST0017,35.8374,-92.2014
0,US1ARST0020,35.9324,-92.2192
0,US1ARST0022,35.947,-92.2358
0,US1ARST0023,35.8715,-92.3435
0,US1ARST0024,35.7375,-92.2745
0,US1ARST0025,35.8121,-91.8957
0,US1ARST0026,,
3,US1ARVB0011,35.4755,-92.3039
5,US1ARWH0005,35.1937,-91.6902
6,US1AZAP0002,32.3471,-110.9996
5,US1AZCH0003,31.564,-110.3163
6,US1AZCH0017,31.549,-110.2776
0,US1AZCH0050,31.3411,-109.5226
0,US1AZCH0054,31.3516,-110.2132
6,US1AZCN0002,35.0938,-111.6954
2,US1AZCN0020,35.1934,-112.1765
5,US1AZCN0021,35.256,-111.7404
5,US1AZGH0002,32.8857,-109.81
3,US1AZGL0001,34.2371,-111.344
4,US1AZMH0004,34.7663,-114.4954
5,US1AZMH0006,34.521,-114.2802
1,US1AZMH0022,35.3579,-114.0099
5,US1AZMR0016,33.71,-111.8415
6,US1AZMR0032,33.3404,-111.9303
5,US1AZMR0035,33.5041,-112.3399
6,US1AZMR0041,33.3355,-112.4871
5,US1AZMR0045,33.7566,-111.9046
5,US1AZMR0046,33.5339,-112.1957
4,US1AZMR0048,33.358,-111.8563
6,US1AZMR0071,33.4741,-111.9395
6,US1AZMR0075,33.3741,-111.8053
4,US1AZMR0082,33.572,-112.0132
6,US1AZMR0096,33.3978,-111.7501
6,US1AZMR0103,33.6321,-112.2903
6,US1AZMR0111,33.3364,-112.1497
5,US1AZMR0138,33.6074,-112.1342
6,US1AZMR0157,33.2213,-111.7756
6,US1AZMR0158,33.798,-111.9816
6,US1AZMR0171,,
5,US1AZMR0207,33.4514,-111.9182
3,US1AZMR0209,33.6614,-112.0802
5,US1AZMR0211,33.5511,-112.1466
6,US1AZMR0218,33.3671,-111.7204
5,US1AZMR0222,33.4094,-112.181
2,US1AZMR0226,33.5717,-112.1637
2,US1AZMR0228,33.3289,-111.9739
5,US1AZMR0232,33.754,-111.847
0,US1AZMR0260,33.368,-111.8622
6,US1AZMR0261,33.4305,-111.7956
4,US1AZMR0264,33.6468,-111.9872
5,US1AZMR0288,33.4311,-111.5885
4,US1AZMR0313,33.2938,-112.0888
4,US1AZMR0326,33.3504,-112.0945
3,US1AZMR0334,33.5839,-112.1303
1,US1AZMR0341,33.3094,-111.7968
1,US1AZMR0342,33.3476,-111.5999
3,US1AZMR0343,33.4912,-111.9993
2,US1AZMR0344,33.4743,-112.3017
0,US1AZMR0350,33.5951,-111.9533
3,US1AZMR0352,33.3707,-111.9503
3,US1AZMR0356,33.551,-112.0604
1,US1AZMR0357,33.2204,-111.749
2,US1AZMR0372,33.8006,-112.1099
1,US1AZMR0375,33.4592,-111.8819
2,US1AZMR0377,33.4417,-112.4053
1,US1AZMR0384,33.5919,-111.7731
0,US1AZMR0386,33.3123,-111.7307
1,US1AZMR0387,33.6159,-111.8861
0,US1AZMR0398,33.5878,-112.324
1,US1AZMR0410,33.4761,-112.0797
0,US1AZMR0419,33.7731,-111.9771
0,US1AZMR0420,33.6195,-112.1381
6,US1AZNV0007,34.1109,-109.9003
2,US1AZNV0009,34.4727,-110.1435
5,US1AZNV0010,34.2825,-110.1266
2,US1AZNV0012,34.4969,-110.1668
6,US1AZPM0010,32.1366,-110.7679
0,US1AZPM0012,32.0255,-111.2749
4,US1AZPM0046,32.318,-111.031
6,US1AZPM0049,32.3021,-111.0752
6,US1AZPM0050,32.2536,-110.9075
6,US1AZPM0062,32.2763,-110.9904
4,US1AZPM0063,32.2861,-111.0622
5,US1AZPM0071,32.4609,-110.9572
15,US1AZPM0082,32.2261,-110.7984
2,US1AZPM0087,32.2009,-110.7691
6,US1AZPM0091,31.8906,-110.9314
5,US1AZPM0101,32.3933,-110.9819
2,US1AZPM0107,32.3427,-111.2041
6,US1AZPM0111,32.139,-110.7674
6,US1AZPM0112,32.4223,-110.9843
4,US1AZPM0119,32.2319,-110.8893
5,US1AZPM0124,32.2829,-110.9689
4,US1AZPM0132,32.2918,-110.8027
5,US1AZPM0135,32.2709,-111.0296
5,US1AZPM0141,32.4289,-110.9872
5,US1AZPM0143,32.2543,-110.7233
3,US1AZPM0145,32.2163,-110.8363
4,US1AZPM0147,32.2318,-110.9363
5,US1AZPM0160,32.3531,-111.0003
2,US1AZPM0164,32.2444,-110.8759
4,US1AZPM0181,32.3707,-111.118
4,US1AZPM0184,32.2483,-110.82
0,US1AZPM0193,32.2988,-111.077
3,US1AZPM0206,32.3585,-111.0515
0,US1AZPM0215,32.1324,-110.8829
2,US1AZPM0229,32.2625,-110.8227
0,US1AZPM0230,32.2261,-110.8444
2,US1AZPM0231,32.4892,-110.8841
0,US1AZPM0240,32.3658,-110.9678
2,US1AZPM0244,32.322,-111.0385
1,US1AZPM0245,32.2047,-110.7824
0,US1AZPM0252,32.3606,-111.1013
0,US1AZPM0261,32.2555,-110.8449
0,US1AZPM0263,32.3513,-111.0163
0,US1AZPM0273,32.3045,-111.0848
1,US1AZPN0006,33.1957,-111.5127
3,US1AZPN0008,33.3629,-111.4698
5,US1AZPN0020,33.396,-111.5807
6,US1AZPN0025,33.108,-111.5072
6,US1AZPN0029,32.5304,-110.8593
5,US1AZPN0033,32.9603,-111.7841
5,US1AZPN0035,33.3916,-111.4928
5,US1AZPN0037,32.809,-111.684
4,US1AZPN0049,32.6058,-110.7894
4,US1AZSC0001,31.6698,-110.6365
5,US1AZSC0010,31.5883,-111.0876
1,US1AZSC0013,31.437,-111.0396
2,US1AZYM0001,32.6341,-114.4056
4,US1AZYM0002,32.5676,-114.6555
1,US1AZYM0007,32.6432,-114.523
6,US1AZYV0001,34.6016,-112.3043
6,US1AZYV0005,34.2821,-112.1983
3,US1AZYV0007,35.1652,-112.5315
6,US1AZYV0018,34.7231,-112.0238
5,US1AZYV0030,34.7973,-111.9
1,US1AZYV0052,34.4349,-112.6079
1,US1AZYV0055,34.7063,-111.9185
0,US1AZYV0060,34.34,-112.164
6,US1CAAL0001,37.8123,-122.216
2,US1CAAL0003,37.7169,-122.0585
0,US1CAAL0007,37.515,-121.9523
1,US1CAAL0018,37.8575,-122.2256
0,US1CAAL0030,37.7778,-122.2032
3,US1CAAM0003,38.4986,-120.5364
2,US1CAAM0009,38.4882,-120.6313
5,US1CABT0002,39.514,-121.518
3,US1CABT0005,39.4932,-121.477
3,US1CABT0009,39.7494,-121.8614
1,US1CABT0026,39.3348,-121.6458
0,US1CABT0032,39.3946,-121.4047
